question,A,B,C,D,correct_answer
Which of the following is used in Pencils?,A. Graphite,B. Silicon,C. Charcoal,D. Phosphorous,A
Which of the following is a Non Metal that remains Liquid at room temperature?,A. Phosphorous,B. Bromine,C. Chlorine,D. Helium,B
Which Part of the Brain Regulates Body Temperature?,A. cerebellum,B. cerebrum,C. hypothalamus,D. medulla,C
Who is Considered as Father of Botany?,A. Aristotle,B. Gregor Joghn Mandle,C. Theophrastus,D. Corlous Linnaeous,C
"In Eye donation, which part of the eye used?",A. Retina,B. Iris,C. Cornea,D. Optic nerve,C
The Sun produces most of its energy by_____________?,A. Nuclear fusion,B. nuclear fission,C. Burning hydrogen,D. None of these,A
Primary cosmic rays are composed largely of very fast__________?,A. Protons,B. Neutrons,C. Electrons,D. Gamma rays,A
The time taken by Sun to revolve around the center of our galaxy is___________?,A. 150 million years,B. 250 million years,C. 300 millon years,D. 350 millon years,B
The average length of the kidney of a man is about?,A. 7cm to 8cm,B. 8cm to 10 cm,C. 10cm to 13 cm,D. 13cm to 16cm,C
In human osmoregulation takes place by___________?,A. Liver,B. Kidney,C. Spleen,D. Lungs,B
CT Scan stand for__________?,A. Computed Tomography Scan,B. Computer Topography Scan,C. Computed Topography Scan,D. Computer Tomography Scan,A
What is the average weight of Human Heart?,A. 300 gram,B. 350 gram,C. 400 gram,D. 450 gram,A
If you have “caries” then which doctor you have consult?,A. Dermatologist,B. Orthopaedist,C. Dentist,D. Nurologist,C
For which one of the following is the density maximum?,A. Ice,B. Water,C. Benzene,D. Chloroform,B
Which one of the following is also called Stranger Gas?,A. Neon,B. Argon,C. Xenon,D. Nitrous oxide,C
Which of the following is the hardest substance?,A. Copper,B. Diamond,C. Iron,D. Silicon,B
Pressure is measured by_________?,A. barometer,B. Voltmeter,C. Lactometer,D. Ammeter,A
Humans can hear in the range of ______ to _______Hertz (Hz).?,"A. 10 Hz to 10,000 Hz.","B. 20 Hz to 20,000 Hz.","C. 30 Hz to 30,000 Hz.","D. 40 Hz to 40,000 Hz.",B
Adult human brain is about_________% of the total body weight.,A. 2%,B. 3%,C. 7%,D. 8%,A
Which blood cells are called ‘Soldiers’ of the body?,A. White Blood Cells,B. Platelets,C. Red Blood Cells,D. None of the above,A
In Fishes excretory Product is__________?,A. Nitrogen,B. Ammonia,C. Uria,D. Carbon dioxide,B
What is the weight of the average human brain?,A. 1.2 to 1.4 Kg,B. 1.4 to 1.8 Kg,C. 2.1 to 2.8 Kg,D. 3.1 to 3.4 Kg,A
Telephone was invented by__________?,A. Vint Cerf,B. Charles Babbage,C. Edison,D. Alexander Graham Bell,D
The Sun is at an average distance of about________ million kilometers away from Earth?,A. 100 million,B. 150 million,C. 200 million,D. 250 million,B
UPS is now widely use in households. What does UPS stands for ?,A. Uniform Power Storage,B. Universal Product Support,C. Under Panel Storage,D. Uninterruptible Power Supply,D
Which rays are trapped in our galaxy by magnetic waves?,A. Alpha rays,B. Gamma rays,C. Cosmic rays,D. None of these,C
According to Einsteins general theory of relativity the universe:________________?,A. Must be expanding,B. Must be contracting,C. Must be either expanding or contracting,D. Must be neither expanding nor contracting,C
There is no connection of supernova explosion with___________?,A. Cosmic rays,B. Pulsars,C. The formation of heavy elements,D. Quasars,D
Echo is a ___________ of sound?,A. Reflection,B. Refraction,C. Interference,D. None,A
Which stone floats on water?,A. Pumice stone,B. Lime stone,C. Basalt stone,D. Quartzite stone,A
"According to many, including the Guinness Book of World Record,________is the world’s rarest mineral?",A. Painite,B. Benitoite,C. Jadeite,D. Taaffeite,A
Which of the following disease is spread by Fleas?,A. Small pox,B. Tetnus,C. Typhus,D. Yellow fever,C
A dolphin perceives its environment by the sense of__________?,A. Sight,B. Sound,C. Both of these,D. None of these,C
How many layers of Atmosphere?,A. 2,B. 3,C. 4,D. 5,D
Density of Water is_________?,A. 897 kg/m³,B. 997 kg/m³,C. 1000 kg/m³,D. 1025 kg/m³,B
Density of Milk is________?,A. 1.024 g/cm3,B. 1.034 g/cm3,C. 1.044 g/cm3,D. 1.054 g/cm3,B
"When a single month has two full moons, the second moon is called________?",A. Super moon,B. Blue moon,C. Super blue moon,D. Red moon,B
A body of land that is surrounded by water on three sides is called________?,A. Strait,B. Bay,C. Peninsula,D. Gulf,C
Frozen dew is also known as________?,A. Frost,B. Black ice,C. Frozen ice,D. Black hail,B
White bloods cells are also known as________?,A. Thrombocytes,B. Leucocytes,C. Erythrocytes,D. None of These,B
The study of fish is known as ________?,A. Entomology,B. Ichthyology,C. Ecology,D. None of these,B
The scientific study of insects is known as _______?,A. Ichthyology,B. Entomology,C. Zoology,D. Botany,B
The study of organisms and their environment is known as ________?,A. Acoustics,B. Ecology,C. Ichthyology,D. None of these,B
The scientific study of measurement is known as __________?,A. Entomology,B. Metrology,C. Ichthyology,D. Ecology,B
Moon is a__________?,A. Star,B. Planet,C. A & B,D. Satellite,D
Chemical Name of Dry Ice?,A. Solid Carbon Dioxide,B. Calcium Carbon,C. A&B,D. Sodium Oxide,A
The main culprit of greenhouse effect is Carbon dioxide. But which is the second element contributing most to greenhouse effect,A. Nitrogen Dioxide (NO2),B. Chlorofluorocarbons (CFCs),C. Methane (CH4),D. High-fructose corn syrup (HFCs),C
"As a result of which treaty, ozone hole in Antarctica is slowly healing?",A. Koyoto protocol,B. Ottawa treaty,C. Montreal protocol,D. Oslo Accord,C
Montreal Protocol 1987 was__________?,A. Treaty among nations to reduce nuclear arsenals,B. Climate control treaty,C. Treaty to protect ozone layer,D. Trade policy about tarrifs,C
Disolved oxygen (DO) in water should be?,A. 400 to 800 ppm,B. 4000 to 8000 ppm,C. 0.4 to 0.5 ppm,D. 4 to 5 ppm,D
Why normal rain is slightly acidic?,A. due to presence of dust in air,B. carbon dioxide and water in clouds react to form carbonic acid,C. Ozone depletion,D. All of these,B
The yellow colour in photochemical smog is due to the presence of____________?,A. Sulphur dioxide,B. Carbon dioxide,C. Nitrogen dioxide,D. CFC’s,C
Human beings use _______ liters of pure oxygen per day.,A. 550,B. 2500,"C. 1,050","D. 10,000",A
"In 2013, Planck measured the age of the universe at ___________?",A. 13.82 billion years,B. 4.53 billion years,C. 4.6 billion years,D. 4.53 billion years,A
Jupiter has ________ known moons.,A. 62,B. 73,C. 79,D.53,C
The study of heavenly bodies is known as_________?,A. Astrology,B. Astronautics,C. Astronomy,D. Astrophysics,C
kilohertz (kHz) is a unit which measures?,A. Power used by a current of one ampere,B. Electromagnetic radio wave frequencies,C. Voltage,D. Electric resistance,B
Which of the following does not pollute the air?,A. Nitrogen Dioxide,B. Sulfur dioxide,C. Carbon dioxide,D. none of these,A
Scientist discovered a previously undetected feature of the human Anatomy that could be the largest organ of human body?,A. Brass,B. Pectora,C. Interstitium,D. Otic,C
‘Bar’ is the unit of___________?,A. Temperature,B. Heat,C. Atmospheric pressure,D. Current,C
“Ornithology” is the study of_____________?,A. Birds,B. Insects,C. Sea Plants,D. Sea Animals,A
How many Dynes are there in one gram weight?,A. 993,B. 981,C. 250,D. 375,B
Wind always blows from area of ________?,A. Low pressure to high pressure,B. High pressure to low pressure,C. Only low pressure,D. Only high pressure,B
Density of Ice is_________?,A. 800kg/m3,B. 917kg/m3,C. 930kg/m3,D. 1000kg/m3,B
The density of Air is_____________?,A. 0.225 kg/m3,B. 1.025 kg/m3,C. 1.225 kg/m3,D. 1.425 kg/m3,C
How long does it take for the moon to orbit the earth once?,A. 26.3 days,B. 27.3 days,C. 28.3 days,D. 30.3 days,B
The distance b/w Earth and Moon is___________?,"A. 3,50,000km","B. 3,60,100km","C. 3,72,000km","D. 3,84,400km",D
The Mirror used in the Automobiles are___________?,A. Concave,B. Convex,C. Plains,D. Reflective,B
The Time taken for sunlight to reach the Earth is___________?,A. 700 sec,B. 8hrs 20 mins,C. 8 mins 20 sec,D. 8 mins,C
The Scientist who told “Heat is a form of Energy” was___________?,A. Thomas Alva Edison,B. Newton,C. Joule,D. Kepler,C
One Quintal is Equal to___________?,A. 70 kg,B. 80 kg,C. 90 kg,D. 100 kg,D
"In Space, our Body_______?",A. Gains Weight,B. Loses Weight,C. No Change,D. Little Change,B
The Percentage of Water used for Drinking in the world is?,A. 1%,B. 10%,C. 3%,D. 5%,A
Growth is provided by________?,A. Protein,B. Minerals,C. Vitamins,D. Carbohydrates,A
Deficiency of Iodine causes:____________?,A. Anemia,B. Scurvy,C. Goiter,D. Rickets,C
Which of the following is not a water soluble vitamin?,A. Tocopherol,B. Pyridoxine,C. Pantothenic acid,D. Niacin,A
The vitamin Folate works together with __________ to produce new red blood cells?,A. Vitamin D,B. Vitamin A,C. Vitamin B-12,D. None of the above,C
Common food sources of Vitamin A are:___________?,"A. Milk, eggs, butter, cheese, cream, and liver","B. White sugar, honey, and sugar cane","C. Broccoli, apricots, cantaloupe, carrots, sweet potato, spinach",D. Both A and C,D
Which of the following is a function of Vitamin A in the body?,"A. Vision, bone and body growth","B. Immune defenses, maintenance of body linings and skin",C. Normal cell development and reproduction,D. All of the above,D
Vitamin C deficiency leads to:____________?,A. Scurvy,B. Cold,C. Cancer,D. Rickets,A
Most abundant color in Earth is_________?,A. Blue,B. Green,C. Brown,D. Black,A
"The hard, solid rocks, whose composition or texture has been changed by heat or pressure in the Earth are called____________?",A. Sedimentary rocks,B. Metamorphic rocks,C. Igneous rocks,D. All of the above,B
One Astronomical unit is equal to how much Km in whole numbers?,A. 160 million km,B. 140 million km,C. 150 million km,D. 130 million km,C
Nearest galaxy to our milky way is ________?,A. Messier 81,B. Andromeda,C. Triangulum,D. Whirlpool,B
Approximate age of milky-way is ________?,A. 16.5 billion years,B. 15.5 billion years,C. 13.5 billion years,D. 14.5 billion years,C
Approximate age of earth is ________?,A. 4.14 billion years,B. 4.64 billion years,C. 4.54 billion years,D. 4.34 billion years,C
Approximate age of moon is _________?,A. 4.51 billion years,B. 4.55 billion years,C. 4.53 billion years,D. 4.57 billion years,C
Approximate age of sun is _________?,A. 4.4 billion years,B. 4.5 billion years,C. 4.6 billion years,D. 4.7 billion years,C
Which gas was discovered on the sun about 151 years ago during total solar eclipse?,A. Hydrogen,B. Helium,C. Nitrogen,D. Flourine,B
In which layer of atmosphere does commercial aircrafts usually fly?,A. Stratosphere,B. Troposphere,C. Mesosphere,D. Thermosphere,A
Largest moon in our solar system is ________?,A. Deimos,B. Ganymede,C. Phobos,D. Arche,B
Largest Galaxy in the Universe is_________?,A. Andromeda Galaxy,B. Milky-Way,C. Spiral Galaxy,D. Horseshoe Galaxy,C
Cause of Malaria is ________?,A. Dirty environment,B. Pollution,C. Mosquito,D. None of above,C
The volume of Blood in a Human body to be approximately _________ of body weight?,A. 6%,B. 7%,C. 8%,D. 9%,B
Water vapour beyond the dew point result in_________?,A. Precipitation,B. Hailstorm,C. Condensation,D. Formation of ice,C
Japan is called ‘Land of the rising sun’ because:,A. Sun rises there as soon as it sets,B. Sun always remains in the eastern past of the sky throughout the day in Japan,"C. Japan being the Eastern most country in the world, it has the earliest sunrise",D. The rays of the sun get reflected from the waters of the sea and make the sunrise beautiful in Japan,C
what are stars mainly made of ?,A. Balls of gass,B. Rock,C. Ice,D. Light,A
which Planet is Called Earth’s Sister?,A. Mercury,B. Venus,C. Mars,D. Neptune,B
Lack of _______ causes diabetes?,A. Vitamins,B. Sugar,C. Insulin,D. Calcium,C
What is the effect of height increase over temperature?,A. Temperature increase,B. Temperature decrease,C. Remains constant,D. None,B
Boiling of an egg is a change which is__________?,A. Physical,B. Chemical,C. Physiological,D. Morphological,B
The major ingredient of leather is__________________?,A. Collagen,B. Polymer,C. Nucleic acid,D. None of these,A
Glass is made of the mixture of______________?,A. Quartz and Mica,B. Sand and Salt,C. Sand and Silicates,D. None of these,C
Rusting of Iron involves_______________?,A. Reduction,B. Oxidation,C. Decomposition,D. Displacement,B
How long does the earth take to cover 1° longitude?,A. 2 Minutes,B. 3 Minutes,C. 4 Minutes,D. 5 Minutes,C
Microphone converts sound energy into ___________?,A. Microwaves,B. Electrical signals,C. Optical Signals,D. Heat energy,B
1 BTU(British thermal unit) is equal to___________?,A. 955 joules,B. 990 joules,C. 1055 joules,D. 1211 joules,C
Dengue Fever is also called___________?,A. Black Fever,B. Breakbone Fever,C. Plasmodium Fever,D. Remittent Fever,B
Which element is used as moderator in nuclear reactor?,A. Light water,B. Dense water,C. Fresh water,D. Heavy water,D
Which of the following Rays are more Penetrating?,A. Beta rays,B. Alpha rays,C. Gamma rays,D. X-rays,C
Sun revolves around milky way in about _____ million years.,A. 225,B. 230,C. 245,D. 250,B
Sun is divided into ______ main layers.,A. 2,B. 3,C. 4,D. 5,B
The sun is containing _______ % mass of the solar system?,A. 75.24%,B. 79.36%,C. 89.10%,D. 99.86%,D
Sun is moving around the centre of the galaxy at a velocity of _______ km/s?,A. 205,B. 210,C. 215,D. 220,D
The horizontal rows of the periodic table are called ______?,A. Groups,B. Periods,C. Sets,D. Matrices,B
Battery was invented by__________?,A. Nicolas Léonard Sadi Carnot,B. Alessandro Volta,C. Michael Faraday,D. Friedrich Bessel,B
Which Planet has purple rocks according to NASA ?,A. Jupitar,B. Neptune,C. Earth,D. Mars,D
A loudspeaker changes _________ energy into sound energy.,A. Chemical,B. Electrical,C. Light,D. Kinetic,B
The strongest part(s) of a magnet is/are _________?,A. North pole,B. South pole,C. North and south pole,D. Median of north and south pole,C
Which metallic element is liquid at room temperature?,A. Zinc,B. Nickel,C. Lead,D. Mercury,D
Pathology is the study of____________?,A. Ethics,B. Disease,C. Future,D. Cancer,B
International date line passes through which strait?,A. Malacca Strait,B. Adam Strait,C. Bering Strait,D. Java Strait,C
Hepatitis is a disease of which of the following organ?,A. Heart,B. Liver,C. Lungs,D. Brain,B
Which of the following female mosquito is the cause of Dengue fever?,A. Aedes Aegypteis,B. Anophilies,C. Barinohils,D. N.O.A,A
Who discovered the Gamma Rays?,A. Alfred Marshall,B. Paul Villard,C. Bohar,D. Jabar bin Hayan,B
The most brightest planet amongst the eight planets?,A. Mercury,B. Jupiter,C. Venus,D. Neptune,C
Segmented Worms take breath through:_________?,A. Mouth,B. Nose,C. Moist Skin,D. Head,C
Year is longest on:___________?,A. Jupiter,B. Earth,C. Mercury,D. Mars,A
The gravitational pull at the lunar surface is ________ of Earth?,A. 1/3,B. 1/4,C. 1/5,D. 1/6,D
X-rays were discovered by __________?,A. Wilhelm Conrad Roentgen,B. Thomson,C. Ernest Rutherford,D. Bacquerel,A
Lactometer is used for__________?,A. Ship,B. Milk,C. Honey,D. None,B
Bamboo is a__________?,A. Herb,B. Grass,C. Shurb,D. Tree,B
Glucose syrup is made from__________?,A. oat,B. wheat,C. maize,D. rice,C
who invented bulb?,A. Philips,B. Robert,C. Edison,D. Willium,C
Central Color of Rainbow is__________?,A. Blue,B. Green,C. Red,D. Indigo,B
Study of current and past landscapes formation is known as____________?,A. Morphology,B. Aero logy,C. Geo-morphology,D. Biology,C
Which one of the following is applicable to the planet ‘Venus’?,A.Smallest,B.Brightest,C.Most dense,D.Largest,B
The setting sun often looks oval in the shape because of__________?,A. The fact that sun really becomes oval in the evening,B. Refraction of rays of sun passing through the atmosphere,C. Optical Illusion,D. Dispersion,B
Hailey’s comet is visible after every_________?,A. 84 years,B. 76 years,C. 1000 years,D. 365 years,B
Which of the followong spacecrsft enabled man to step on the moon first?,A. Spuntnik I,B. Luna II,C. Vostok I,D. Apollo XI,D
Among the planets of the Solar system the position of the Earth from the Sun is:_________?,A. Second,B. Third,C. Fourth,D. Sixth,B
Most important effect of the moon on earth is that it___________?,A. Causes weather change,B. Causes earthquakes,C. Causes solar and lunar eclipse,D. Effects tides of the ocean,D
The Lunar eclipse occurs when:,A. Moon is b/w the earth and the sun,B. Earth is b/w the sun and the moon,C. Sun is b/w the earth and the moon,D. Earth is at right angles to the direction of the sun and the moon,B
Which is the nearest star to our sun?,A. Proxima Centurai,B. Alpha Scorpii,C. Beta Orionis,D. Vega,A
Who was the first to measure the earth’s radius,A. Galileo,B. Copernicus,C. Ptolemy,D. Eratosthenes,D
Which of the following is the largest planet?,A. Neptune,B. Jupiter,C. Saturn,D. Mars,B
Which of the following planets has the smallest diameters_____?,A. Mercury,B. Marx,C. Pluto,D. Venus,A
Which of the following planets is fastest rotating planet?,A. Mercury,B. Marx,C. Jupiter,D. Venus,C
Isobars are the lines connecting the places having same:___________?,A. Pressure,B. Rainfall,C. Height,D. Temperature,A
Which on of the following planets orbits around the sun in a clockwise direction?,A. Earth,B. Mercury,C. Jupiter,D. Venus,D
Which one of the following is not a unit of distance?,A. Parsec,B. Astronomical Unit,C. Light Year,D. Foot Candle,D
"Constellations referred to as zodiac, are__________?",A. Imaginary regions that encompass the path of the planets,B. Signs of Roman gods,C. A group of stars,D. None of these,A
‘Black holes’ refers to_______________?,A. Holes occurring in heavenly bodies,B. Bright spots on the sun,C. Collapsing object of high density,D. Collapsing object of low density,C
The top atmosphere of the Earth directly reflects back into space nearly what part of the total amount of sun’s energy coming to it?,A. 10%,B. 20%,C. 30%,D. 50%,C
What is the temperature at the center of the Sun?,A. 6 million °C,B. 10 million °C,C. 15 million °C,D. 20 million °C,C
What is the mass of the Sun?,A. 1.5×10 Power 30 Kg,B. 1.98×10 Power 30 Kg,C. 4.5×10 Power 30 Kg,D. 8×10 Power 30 Kg,B
An example of an abiotic component __________?,A. Plants,B. Soil,C. Animals,D. Bacteria,B
Pollutants that are introduced into the environment by human activity are called as ___________?,A. Qualitative pollutants,B. Quantitative pollutants,C. Anthropogenic pollutant,D. All of Above,C
Basidiospores are considered to be a major source of ___________?,A. airborne allergens,B. water borne allergens,C. animal faeces,D. bio-weapon,A
The species that flower are called ______________?,A. Gymnosperms,B. Bryophytes,C. Angiosperms,D. Algae,C
"The instrument that measures temperature, pressure, and humidity at various altitudes in the atmosphere ___________?",A. Barograph,B. Radiosonde,C. Aneroid barometer,D. Altimeter,B
Which are the largest of the white blood cells?,A. lymphocytes,B. eosinophils,C. basophils,D. monocytes,D
The outermost layer of skin is the__________?,A. endodermis,B. dermis,C. epidermis,D. hypodermis,C
“Elephant” large unit of paper measurement equal to 28 by__________,A. 23 inches,B. 25 inches,C. 28 inches,D. 31 inches,A
Candela is the basic unit of_________________?,A. luminous intensity,B. heat producing value,C. Thermodynamic temperature,D. radioactive decay,A
Steradian is the unit of_______________?,A. Solid angle,B. Liquid angle,C. Gas angle,D. Plain angle,A
Siemens is the unit of__________________?,A. Electrical Conductance,B. Magnetic Conductance,C. Electrical Capacitance,D. Magnetic Capacitance,A
Tesla is the unit of_________________________?,A. Magnetic Field Strength,B. Electric Field Strength,C. Gravitational Field Strength,D. Nuclear Field Strength,A
There are__________ kinds of Joints in human body?,A. 4,B. 5,C. 6,D. 7,A
"Types of bones in human body are: Long, short, irregular and ____________?",A. Flat,B. Medium,C. Regular,D. Rough,A
In human body there are_________________kinds of bones?,A. 3,B. 4,C. 5,D. 6,B
Melanoma (skin cancer) is associated with ______________?,A. ozone accumulation,B. ozone depletion,C. acid rain,D. allergens,B
The earth’s atmosphere is divided into layers based on the vertical profile of __________?,A. Air pressure,B. Air temperature,C. Air density,D. Wind speed,B
A term biotype means ___________?,A. all individuals having same phenotype,B. all individuals having same genotype,C. all individual with different phenotype,D. all individuals with different genotype,A
Barnacles growing on the back of whale is an example for ________________?,A. mutualism,B. parasitism,C. amensalism,D. commensalism,D
Fine organic or inorganic particles suspended in air is called _______________?,A. particulate pollutant,B. gaseous pollutant,C. aerosol,D. none of these,C
Fog that most often forms as warm rain falls into a cold layer of surface air is called ______________?,A. Radiation fog,B. Evaporation (mixing) fog,C. Advection fog,D. Upslope fog,B
When oil and gas resources are burnt they kill many forests and lakes by ________________ ?,A. deforestation,B. water pollution,C. acid rain,D. forest fire,C
The pyramid of energy in any ecosystem is _________?,A. Always upright,B. May be upright or invented,C. Always inverted,D. Always Circle,A
"In middle latitudes, which cloud will have the lowest base ________________________ ?",A. Cirrostratus,B. Stratocumulus,C. Altocumulus,D. Cirrus,B
Fatal degenerative lung disease caused by particulate asbestos is referred to as _____________?,A. asbestosis,B. asthma,C. allergy,D. sinusitis,A
The blueness of the sky is mainly due to _____________?,A. The scattering of sunlight by air molecules,B. The presence of water vapor,C. Absorption of blue light by the air,D. Emission of blue light by the atmosphere,A
The atmosphere near the earth’s surface is “heated from below.” Which of the following does not significantly contribute to this heating _____________________?,A. Conduction of heat upward from a hot surface,B. Convection from a hot surface,C. Absorption of infrared energy that has been radiated from the surface,D. Heat energy from the earth’s interior,D
The gradual physiological adjustment to slowly changing new environmental conditions is known as _____________________?,A. Selection,B. Introduction,C. Acclimatization,D. Quarantine,C
Salinization is ___________?,A. Accumulation of salts in water,B. Accumulation of salts in soil,C. Accumulation of salts in body,D. Accumulation of salts in animals,B
Acid deposition causes ______________________?,A. the greenhouse effect to lessen,B. lakes and forests to die,C. acid indigestion in humans,D. all the above are correct,B
Water vapor is ______________?,A. A gas,B. A cloud droplet,C. A rain drop,D. A snowflake,A
At what time of day is the relative humidity normally at a minimum ________________ ?,A. When the air temperature is highest,B. Just before sunrise,C. About midnight,D. When the air temperature is lowest,A
Which of the following chemicals is not found in tobacco smoke?,A. Chlorine bleach,B. Rocket fuel,C. Nail polish remover,D. Barbecue lighter fluid,C
What is the addictive drug in tobacco ______________?,A. Ethanol,B. Nicotine,C. Ammonia,D. Tar,B
How does smoking cigarettes impact the red blood cells?,A. Decreases their ability to congeal,B. Decreases their ability to carry oxygen,C. Decreases their ability to reach their typical life duration,D. Decreases their ability to cleanse wounds,B
Which of the following conditions related to smoking involves damage to the alveoli sacs?,A. Lung Cancer,B. Atherosclerosis,C. Emphysema,D. Asthma,C
Fuzzy logic is a part of_________________?,A. Aristotle’s philosophy,B. Computer science,C. Epicurianism,D. Sophism,B
Circadian Rhythm refers to _____________?,A. Planetary movements,B. Formation of galaxies,C. Human body cycles,D. Calisthenics,C
What is it called when the Earth is closest to the sun _____________?,A. Aphelion,B. Perihelion,C. Apoapsis,D. Periapsis,B
"Earth is closest to the sun every year in early ______________, when it’s winter for the Northern Hemisphere. We’re farthest away from the sun in early __________________, during our Northern Hemisphere summer.",A. January – July,B. June – December,C. July – January,D. December – June,A
An extremely small piece of silicon on which integrated circuits are implicated is called __________________?,A. Card Reader,B. Hollerith Code,C. Feed,D. Chip,D
The property of a substance to absorb moisture from the air on exposure is called____________?,A. osmosis,B. deliquescence,C. efflorescence,D. desiccation,B
The variety of coal in which the deposit contains recognizable traces of the original plant material is____________?,A. bitumen,B. anthracite,C. lignite,D. peat,D
Big Bang theory explains_____________?,A. Origin of Universe,B. Origin of Sun,C. Laws of physics,D. None of above,A
Big Bang was an explosion that occurred ?,A. 10 Billion years ago,B. 15 Billion years ago,C. 20 Billion years ago,D. 25 Billion years ago,B
Which is correct order of solar system starting from Sun ?,"A. Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune","B. Mercury, Venus, Earth, Mars, Jupiter, Saturn, Neptune, Uranus","C. Mercury, Venus, Mars, Earth, Jupiter, Saturn, Neptune, Uranus","D. Mercury, Venus, Earth, Jupiter, Mars, Saturn, Uranus, Neptune",A
Diameter of Sun is_____________?,A. 12 Lakh kms,B. 13 Lakh kms,C. 14 Lakh kms,D. 15 Lakh kms,C
Intrinsic Semi-conductor is also known as__________?,A. Impure-Conductor,B. Pure-Conductor,C. Simple Conductor,D. None of these,B
"On passing through food stuff, X-ray can kill the___________?",A. Fungus,B. Virus,C. Bacteria,D. insects,C
Vitamin A is found in the____________?,A. Green vegetables,B. white vegetables,C. Yellow vegetables,D. Red vegetables,A
The protein content of  edible portion of egg is___________?,A. 13 %,B. 13.3%,C. 14 %,D. 14.5%,B
Alzheimer’s disease in human beings is characterized by the degeneration of _______,A. Kidney cells,B. Nerve cells,C. Liver cells,D. Spleen cells,B
The protein content in wheat is approximately_______________?,A. 6%,B. 9%,C. 12%,D. 15%,C
Average salinity or ratio of salt as per kilogram of water of ocean is__________?,A. 35 grams,B. 55 grams,C. 32 grams,D. 42 grams,A
Sum of all ecosystems is classified as___________?,A. Aero sphere,B. Ionosphere,C. Biosphere,D. Ozonosphere,C
Pedosphere is sum of_____________?,A. Organisms,B. Soil and water,C. Air,D. All of above,D
Ice mass that covers more than fifty-thousand square kilometers of land area is classified as____________?,A. ice sheet,B. ice field,C. glacier erosions,D. ice cap,A
Evaporation from ice and snow is known as___________?,A. evaporation,B. sublimation,C. hydrogenation,D. insolation,B
What is the name of the central part of the earth?,A. Mantle,B. Core,C. Crust,D. None of the above,B
The rocks formed out of layers of sediment bonded together are known as _______________?,A. Metamorphic rocks,B. Sedimentary rocks,C. Igneous rocks,D. All of the above,B
Which one is the world’s largest mangrove forest(s)?,A. Changa Manga Forest,B. Amazon Forest,C. Sundarbans Forest,D. None of the above,C
The point that lies directly above the source of an earthquake is known as _______________ ?,A. Earthquake Center,B. Epicenter,C. Gravitational Center,D. Geological Center,B
What is/are the basic purpose(s) of dams?,A. Storage of water in a large reservoir,B. Generation of electricity,C. Control of floods,D. All of the above,D
Which one of the following can be synthesized by Liver _______?,A. Vitamin B6,B. Vitamin B12,C. Vitamin K,D. Vitamin E,C
Which among the following is responsible for producing color of human skin ___?,A. Insulin,B. Vitamin K,C. Melanin,D. DNA,C
In which part of the eye lies the pigment that decides the colour of the eyes of a person___?,A. Retina,B. Iris,C. Cornea,D. Pupal,B
By which process copper is refined ____________?,A. Roasting,B. Oxidation,C. Zone Refining,D. Electrolysis,A
Magnalium is an alloy of_____________?,A. Magnesium and Lead,B. Aluminium and Zinc,C. Aluminium and Magnesium,D. Aluminium and Mercury,C
Which of the following metal occurs in free state ______________?,A. Lead,B. Iron,C. Mercury,D. Copper,A
The vitamin which is generally excreted by humans in urine is__________?,A. Vitamin A,B. Vitamin B,C. Vitamin B12,D. Vitamin C,D
The Virus of AIDS affects the growth of_____________?,A. Hemoglobin,B. RBCs in blood,C. T cells in blood,D. Grey Cells in blood,C
The total energy of revolving electron in an atom_____________,A. Will always be positive,B. Can never be positive,C. Can have any value above zero,D. Cannot be negative,B
Muscle fatigue is caused by the accumulation of___________?,A. Uric acid,B. Lactic acid,C. Oxalacetic acid,D. Fyruvie acid,B
An element that does not occur in nature but can be produced artificially is__________?,A. Plutonium,B. Uranium,C. Radium,D. Thorium,A
What is the element required for solar energy conversion ______?,A. Ultra pure carbon,B. Silicon,C. Beryllium,D. Tantalum,B
The ratio of pure gold in 18 carat gold is _______________?,A. 0.5,B. 0.9,C. 0.8.5,D. 0.75,D
Which pollutant from motor car exhaust causes mental disease _____?,A. Carbon dioxide,B. Lead,C. Sulpher Dioxide,D. Mercury,B
Spinach leaves are rich source of________,A. Amino acid,B. Iron,C. Vitamin E,D. Carotene,B
Galvanised Iron sheets have a coating of____________,A. Tin,B. Silver,C. Zinc,D. Chromium,C
Phobos is the natural satellite of which planet__________ ?,A. Mars,B. Venus,C. Saturn,D. Neptune,A
what kind of soil is treated with gypsum to make it suitable for cropping______?,A. Alkaline,B. Acidic,C. Waterlogged,D. Soil with excessive clay content,A
Mercury is also known as_________?,A. Shine Silver,B. Quick Silver,C. Slow Silver,D. Slippery Silver,B
Which of the following vitamins is synthesized in the body by intestinal bacteria_______?,A. Vitamins B1,B. Vitamins B12,C. Vitamins E,D. Vitamins K,D
Cow milk is a rich source of____________?,A. vitamin C,B. vitamin B,C. vitamin A,D. vitamin K,C
Which Vitamin gets destroyed on heating?,A. B,B. E,C. K,D. C,D
AIDS virus is______________________,A. Single-stranded RNA,B. Single-stranded DNA,C. Double-stranded RNA,D. Double-stranded DNA,A
The speed of light with the rise in the temperature of the medium____________?,A. Decrease,B. Increase,C. Remain the same,D. First decrease then increase,C
"There are three types of plate boundaries i.e Divergent, Convergent and____________",A. Normal,B. Transform,C. Complex,D. Plain,B
