question,A,B,C,D,correct_answer
If the radius of the sphere is doubled then it’s volume is increased by?,A. 100 %,B. 200 %,C. 700 %,D. 800 %,C
The curved surface area of a cylindrical pillar is 264 m2 and its volume is 924 m3. Find the ratio of its diameter to its height.,A. 3 : 7,B. 7 : 3,C. 6 : 7,D. 7 : 6,B
A cistern of capacity 8000 litres measures externally 3.3 m by 2.6 m by 1.1 m and its walls are 5 cm thick. The thickness of the bottom is__________?,A. 90 cm,B. 1 dm,C. 1 m,D. 1.1 cm,B
What is the total surface area of a right circular cone of height 14 cm and base radius 7 cm?,A. 344.35 cm2,B. 344.35 cm2,C. 344.35 cm2,D. None of these,C
"A large cube is formed from the material obtained by melting three smaller cubes of 3, 4 and 5 cm side. What is the ratio of the total surface areas of the smaller cubes and the large cube?",A. 2 : 1,B. 3 : 2,C. 25 : 18,D. 27 : 20,C
"Surface area of a sphere is 2464 cm2. If its radius is doubled, then the surface area of _________?the new sphere will be",A. 4920 cm2,B. 4727 cm2,C. 9856 cm2,D. 19712 cm2,C
"In a drawer there are 4 white socks, 3 blue socks and 5 grey socks. Two socks are picked randomly. What is the possibility that both the socks are of same color?",A. 4/11,B. 1,C. 2/33,D. 19/66,D
What is probability of drawing two clubs from a well shuffled pack of 52 cards?,A. 13/51,B. 1/17,C. 1/26,D. 13/17,B
What are the chances that no two boys are sitting together for a photograph if there are 5 girls and 2 boys?,A. 1/21,B. 4/7,C. 2/7,D. 5/7,D
A card is drawn from a pack of 52 cards. The probability of getting a queen of club or a king of heart is___________?,A. 1/13,B. 2/13,C. 1/26,D. 1/52,C
"From a pack of cards two cards are drawn one after the other, with replacement. The probability that the first is a red card and the second is a king is_________?",A. 1/26,B. 3/52,C. 15/26,D. 11/26,A
"Out of 10 persons working on a project, 4 are graduates. If 3 are selected, what is the probability that there is at least one graduate among them?",A. 1/6,B. 5/8,C. 3/8,D. 5/6,D
The probability that A speaks truth is 3/5 and that of B speaking truth is 4/7. What is the probability that they agree in stating the same fact?,A. 18/35,B. 12/35,C. 17/35,D. 19/35,A
In a party there are 5 couples. Out of them 5 people are chosen at random. Find the probability that there are at the least two couples?,A. 5/21,B. 5/14,C. 9/14,D. 16/21,A
"The probability of a lottery ticket being a prized ticket is 0.2. When 4 tickets are purchased, the probability of winning a prize on at least one ticket is__________?",A. 0.4869,B. 0.5904,C. 0.6234,D. 0.5834,B
10 books are placed at random in a shelf. The probability that a pair of books will always be together is_________?,A. 1/10,B. 9/10,C. 1/5,D. 3/10,C
What is the probability that a leap year has 53 Sundays and 52 Mondays?,A. 0,B. 1/7,C. 2/7,D. 5/7,B
"Out of 15 consecutive numbers, 2 are chosen at random. The probability that they are both odds or both primes is_________?",A. 10/17,B. 10/19,C. 46/105,D. Cannot be determined,D
A bag contains five white and four red balls. Two balls are picked at random from the bag. What is the probability that they both are different color?,A. 4/9,B. 5/9,C. 7/9,D. 8/9,B
"A box contains 3 blue marbles, 4 red, 6 green marbles and 2 yellow marbles. If two marbles are picked at random, what is the probability that they are either blue or yellow?",A. 3/22,B. 4/21,C. 2/21,D. 1/14,C
"A box contains 3 blue marbles, 4 red, 6 green marbles and 2 yellow marbles. If three marbles are picked at random, what is the probability that they are all blue?",A. 1/455,B. 2/455,C. 1/91,D. 4/455,A
"A box contains 3 blue marbles, 4 red, 6 green marbles and 2 yellow marbles. If four marbles are picked at random, what is the probability that none is blue?",A. 17/91,B. 33/91,C. 51/91,D. 65/91,B
"A box contains nine bulbs out of which 4 are defective. If four bulbs are chosen at random, find the probability that at least one bulb is good.",A. 6/63,B. 2/63,C. 125/126,D. 1/126,C
"A box contains nine bulbs out of which 4 are defective. If four bulbs are chosen at random, find the probability that all the four bulbs are defective.",A. 62/63,B. 125/126,C. 1/63,D. 1/126,D
Three 6 faced dice are thrown together. The probability that exactly two dice show the same number on them is -.,A. 5/9,B. 5/12,C. 1/36,D. 7/12,B
Three 6 faced dice are thrown together. The probability that no two dice show the same number on them is__________?,A. 7/12,B. 5/9,C. 1/36,D. 5/12,B
Three 6 faced dice are thrown together. The probability that all the three show the same number on them is -.,A. 1/216,B. 1/36,C. 5/9,D. 5/12,B
A basket has 5 apples and 4 oranges. Three fruits are picked at random. The probability that at least 2 apples are picked is__________?,A. 25/42,B. 9/20,C. 10/23,D. 41/42,A
"A bag contains 7 green and 8 white balls. If two balls are drawn simultaneously, the probability that both are of the same colour is -.",A. 8/15,B. 2/5,C. 3/5,D. 7/15,D
"If six persons sit in a row, then the probability that three particular persons are always together is____________?",A. 1/20,B. 3/10,C. 1/5,D. 4/5,C
"If a card is drawn from a well shuffled pack of cards, the probability of drawing a spade or a king is__________?",A. 19/52,B. 17/52,C. 5/13,D. 4/13,D
"If four coins are tossed, the probability of getting two heads and two tails is__________?",A. 3/8,B. 6/11,C. 2/5,D. 4/5,A
"If two dice are thrown together, the probability of getting an even number on one die and an odd number on the other is__________?",A. 1/4,B. 1/2,C. 3/4,D. 3/5,B
"Out of first 20 natural numbers, one number is selected at random. The probability that it is either an even number or a prime number is_____________?",A. 1/2,B. 16/19,C. 4/5,D. 17/20,D
"If a number is chosen at random from the set {1, 2, 3, …., 100}, then the probability that the chosen number is a perfect cube is___________?",A. 1/25,B. 1/2,C. 4/13,D. 1/10,A
A coin is tossed live times. What is the probability that there is at the least one tail?,A. 31/32,B. 1/16,C. 1/2,D. 1/32,A
The probability that a number selected at random from the first 50 natural numbers is a composite number is__________?,A. 21/25,B. 17/25,C. 4/25,D. 8/25,B
"Three taps A, B and C can fill a tank in 12, 15 and 20 hours respectively. If A is open all the time and B and C are open for one hour each alternately, the tank will be full in_________?",A. 6 hours,B. 6 2/3 hours,C. 7 hours,D. 7 1/2 hours,C
"A cistern can be filled by a tap in 4 hours while it can be emptied by another tap in 9 hours. If both the taps are opened simultaneously, then after how much time will the cistern get filled?",A. 4.5 hrs,B. 5 hrs,C. 6.5 hrs,D. 7.2 hrs,D
"A tap can fill a tank in 6 hours. After half the tank is filled, three more similar taps are opened. What is the total time taken to fill the tank completely?",A. 3 hrs 15 min,B. 3 hrs 45 min,C. 4 hrs,D. 4 hrs 15 min,B
A large tanker can be filled by two pipes A and B in 60 minutes and 40 minutes respectively. How many minutes will it take to fill the tanker from empty state if B is used for half the time and A and B fill it together for the other half?,A. 15 min,B. 20 min,C. 27.5 min,D. 30 min,D
"One pipe can fill a tank three times as fast as another pipe. If together the two pipes can fill the tank in 36 minutes, then the slower pipe alone will be able to fill the tank in:",A. 81 min.,B. 108 min.,C. 144 min.,D. 192 min.,C
A cistern is normally filled in 8 hours but takes two hours longer to fill because of a leak in its bottom. If the cistern is full the leak will empty it in.,A. 16 hrs,B. 20 hrs,C. 25 hrs,D. 40 hrs,D
One top can fill a cistern in 2 hours and another can empty the cistern in 3 hours. How long will they take to fill the cistern if both the taps are opened?,A. 5 Hours,B. 6 Hours,C. 7 Hours,D. 8 Hours,B
A top can fill a cistern in 8 hours and another can empty it in 16 hours. If both the taps are opened simultaneously the time (in hours) to fill the tank is,A. 8,B. 10,C. 16,D. 24,C
"Three pipes A, B and C can fill a tank in 6 hours. After working at it together for 2 hours. C is closed A and B can fill the remaining par in 7 hours. The number of hours taken by C alone to fill the tank is?",A. 10,B. 12,C. 14,D. 16,C
"Two pipes A and B can fill a cistern in 37 1/2 minutes and 45 minutes respectively. Both pipes are opened. The cistern will be filled in just half an hour, if the pipe B is turned off after?",A. 5 min,B. 9 min,C. 10 min,D. 15 min,B
Two pipes can fill a tank in 20 and 24 minutes respectively and a waste pipe can empty 3 gallons per minute. All the three pipes working together can fill the tank in 15 minutes. The capacity of the tank is?,A. 60 gallons,B. 100 gallons,C. 120 gallons,D. 180 gallons,C
"Three taps A, B and C can fill a tank in 12, 15 and 20 hours respectively. If A is open all the time and B and C are open for one hour each alternately, the tank will be full is_______?",A. 6 hrs,B. 6 2/3 hrs,C. 7 hrs,D. 7 1/2 hrs,C
A large tanker can be filled by two pipes A and B in 60 and 40 minutes respectively. How many minutes will it take to fill the tanker from empty state if B is used for half the time and A and B fill it together for the other half?,A. 15 min,B. 20 min,C. 27.5 min,D. 30 min,D
"Two pipes A and B can fill a tank in 15 min and 20 min respectively. Both the pipes are opened together but after 4 min, pipe A is turned off. What is the total time required to fill the tank?",A. 10 min 20 sec,B. 11 min 45 sec,C. 12 min 30 sec,D. 14 min 40 sec,D
A tank is filled by three pipes with uniform flow. The first two pipes operating simultaneously fill the tank in the same during which the tank is filled by the third pipe alone. The second pipe fills the tank 5 hours faster than the first pipe and 4 hours slower than the third pipe. The time required by the first pipe is?,A. 6 hrs,B. 10 hrs,C. 15 hrs,D. 30 hrs,C
"A tank is filled in 5 hours by three pipes A, B and C. The pipe C is twice as fast as B and B is twice as fast as A. How much time will pipe A alone take to fill the tank?",A. 20 hrs,B. 25 hrs,C. 35 hrs,D. Cannot be determined,C
"One pipe can fill a tank three times as fast as another pipe. If together the two pipes can fill tank in 36 min, then the slower pipe alone will be able to fill the tank in?",A. 81 min,B. 108 min,C. 144 min,D. 192 min,C
"Two pipes A and B together can fill a cistern in 4 hours. Had they been opened separately, then B would have taken 6 hours more than A to fill cistern. How much time will be taken by A to fill the cistern separately?",A. 1 hr,B. 2 hrs,C. 6 hrs,D. 8 hrs,C
"A pump can fill a tank with water in 2 hours. Because of a leak, it took 2 1/3 hours to fill the tank. The leak can drain all the water of the tank in?",A. 4 1/3 hrs,B. 7 hrs,C. 8 hrs,D. 14 hrs,D
"Two pipes A and B can separately fill a cistern in 60 min and 75 min respectively. There is a third pipe in the bottom of the cistern to empty it. If all the three pipes are simultaneously opened, then the cistern is full in 50 min. In how much time, the third pipe alone can empty the cistern?",A. 90 min,B. 100 min,C. 110 min,D. 120 min,B
"Three pipes A, B and C can fill a tank from empty to full in 30 minutes, 20 minutes and 10 minutes respectively. When the tank is empty, all the three pipes are opened. A, B and C discharge chemical solutions P, Q and R respectively. What is the proportion of solution R in the liquid in the tank after 3 minutes?",A. 5/11,B. 6/11,C. 7/11,D. 8/11,B
"Pipes A and B can fill a tank in 5 and 6 hours respectively. Pipe C can empty it in 12 hours. If all the three pipes are opened together, then the tank will be filled in?",A. 1 13/17 hours,B. 2 8/11 hours,C. 3 9/17 hours,D. 4 1/2 hours,C
"Pipe A can fill a tank in 5 hours, pipe B in 10 hours and pipe C in 30 hours. If all the pipes are open, in how many hours will the tank be filled?",A. 2,B. 2.5,C. 3,D. 3.5,C
"A water tank is two-fifth full. Pipe A can fill a tank in 10 minutes and pipe B can empty it in 6 minutes. If both the pipes are open, how long will it take to empty or fill the tank completely?",A. 6 min. to empty,B. 6 min. to full,C. 9 min. to empty,D. 9 min. to full,A
A tap can fill a tank in 6 hours. After half the tank is filled three more similar taps are opened. What is the total time taken to fill the tank completely?,A. 3 hrs 15 min,B. 3 hrs 45 min,C. 4 hrs,D. 4 hrs 15 min,B
"A cistern can be filled by a tap in 4 hours while it can be emptied by another tap in 9 hours. If both the taps are opened simultaneously, then after how much time will the cistern get filled?",A. 4.5 hrs,B. 5 hrs,C. 6.5 hrs,D. 7.2 hrs,D
"Two pipes A and B can fill a tank in 20 and 30 minutes respectively. If both the pipes are used together, then how long will it take to fill the tank?",A. 12 min,B. 15 min,C. 25 min,D. 50 min,A
"A tank is filled in eight hours by three pipes A, B and C. Pipe A is twice as fast as pipe B, and B is twice as fast as C. How much time will pipe B alone take to fill the tank?",A. 24 hours,B. 28 hours,C. 32 hours,D. 36 hours,B
"Pipe A can fill a tank in 6 hours. Due to a leak at the bottom, it takes 9 hours for the pipe A to fill the tank. In what time can the leak alone empty the full tank?",A. 16 hours,B. 15 hours,C. 18 hours,D. 17 hours,C
"Pipe A can fill a tank in 16 minutes and pipe B cam empty it in 24 minutes. If both the pipes are opened together after how many minutes should pipe B be closed, so that the tank is filled in 30 minutes?",A. 20,B. 24,C. 23,D. None of these,D
"Two pipes can fill a tank in 18 minutes and 15 minutes. An outlet pipe can empty the tank in 45 minutes. If all the pipes are opened when the tank is empty, then how many minutes will it take to fill the tank?",A. 12,B. 13,C. 11,D. 10,D
"Three pipes of same capacity can fill a tank in 8 hours. If there are only two pipes of same capacity, the tank can be filled in___________?",A. 17 hours,B. 12 hours,C. 16 hours,D. 24 hours,B
"A cistern has three pipes, A, B and C. The pipes A and B can fill it in 4 and 5 hours respectively and C can empty it in 2 hours. If the pipes are opened in order at 1, 2 and 3 A.M. When will the cistern be empty?",A. 3 PM,B. 7 PM,C. 4 PM,D. 5 PM,D
"Pipes A and B can fill a cistern in 8 and 24 minutes respectively. They are opened an alternate minutes. Find how many minutes, the cistern shall be full?",A. 6 min,B. 12 min,C. 19 min,D. 10 min,B
"A pipe can fill a cistern in 20 minutes whereas the cistern when fill can be emptied by a leak in 28 minutes. When both pipes are opened, find when the cistern will be full?",A. 60 min,B. 80 min,C. 70 min,D. 48 min,C
A cistern which could be filled in 9 hours takes one hour more to be filled owing to a leak in its bottom. If the cistern is full in what time will the leak empty it?,A. 45 hrs,B. 60 hrs,C. 75 hrs,D. 90 hrs,D
"pipes P and Q would fill a cistern 18 and 24 minutes respectively. Both pipes being opened, find when the first pipe must be turned off so that the cistern may be just filled in 12 minutes?",A. after 12 mins,B. after 9 mins,C. after 8 1/2 mins,D. after 10 mins,B
Two pipes function simultaneously the reservoir will be filled in 12 hours. One pipe fills reservoir 10 hours faster than the other. How many hours does the faster pipe take to fill the reservoir?,A. 25 hrs,B. 28 hrs,C. 20 hrs,D. 35 hrs,C
"Two pipes can separately fill a tank in 20 and 30 hours respectively. Both the pipes are opened to fill the tank but when the tank is full, a leak develops in the tank through which one-third of water supplied by both the pipes goes out. What is the total time taken to fill the tank?",A. 18 hrs,B. 16 hrs,C. 15 hrs,D. 12 hrs,B
"An outlet pipe can empty 2/3 rd of a cistern in 12 minutes. In 8 minutes, what part of the cistern will be emptied?",A. 4/9,B. 2/3,C. 4/7,D. 1/6,A
Two pipes A and B can separately fill a cistern in 10 and 15 minutes respectively. A person opens both the pipes together when the cistern should have been was full he finds the waste pipe open. He then closes the waste pipe and in another 4 minutes the cistern was full. In what time can the waste pipe empty the cistern when fill?,A. 7 min,B. 8 min,C. 9 min,D. 10 min,B
A leak in the bottom of a tank can empty the full tank in 6 hours. An inlet pipe fills water at the rate of 4 liters per minute. When the tank is full in inlet is opened and due to the leak the tank is empties in 8 hours. The capacity of the tank is?,A. 5260 liters,B. 5760 liters,C. 5846 liters,D. 6970 liters,B
"Two pipes A and B can separately fill a tank in 12 and 15 minutes respectively. A third pipe C can drain off 45 liters of water per minute. If all the pipes are opened, the tank can be filled in 15 minutes. What is the capacity of the tank?",A. 480 liters,B. 540 liters,C. 600 liters,D. 675 liters,B
"A cistern is normally filled in 8 hours but takes two hours longer to fill because of a leak in its bottom. If the cistern is full, the leak will empty it in?",A. 16 hrs,B. 20 hrs,C. 40 hrs,D. 25 hrs,C
Two pipes A and B can fill a cistern in 12 and 15 minutes respectively. Both are opened together but after 3 minutes A is turned off. After how much more time will the cistern be filled?,A. 3 1/4 min,B. 5 1/4 min,C. 8 1/4 min,D. 9 1/4 min,C
"Two pipes A and B can fill a tank in 4 and 5 hours respectively. If they are turned up alternately for one hour each, the time taken to fill the tank is?",A. 2 hrs 15 min,B. 4 hrs 24 min,C. 5 hrs,D. 3 hrs,B
"A cistern is filled by a tap in 3 1/2 hours. Due to leak in the bottom of the cistern, it takes half an hour longer to fill the cistern. If the cistern is full how long will it take the leak to empty it?",A. 7 hours,B. 8 hours,C. 14 hours,D. 28 hours,D
"Two taps can separately fill a cistern 10 minutes and 15 minutes respectively and when the waste pipe is open, they can together fill it in 18 minutes. The waste pipe can empty the full cistern in?",A. 7 min,B. 13 min,C. 23 min,D. 9 min,D
"A cistern has a leak which would empty the cistern in 20 minutes. A tap is turned on which admits 4 liters a minute into the cistern, and it is emptied in 24 minutes. How many liters does the cistern hold?",A. 480 liters,B. 600 liters,C. 720 liters,D. 800 liters,A
"Two pipes P and Q can fill a cistern in 12 and 15 minutes respectively. Both are opened together, but at the end of 3 minutes the first is turned off. How much longer will the cistern take to fill?",A. 9 1/4 min,B. 11 1/4 min,C. 7 1/4 min,D. 8 1/2 min,B
Two pipes A and B can separately fill a tank in 2 minutes and 15 minutes respectively. Both the pipes are opened together but 4 minutes after the start the pipe A is turned off. How much time will it take to fill the tank?,A. 9 min,B. 10 min,C. 11 min,D. 12 min,B
"Two pipes A and B can fill a cistern in 20 and 30 minutes respectively, and a third pipe C can empty it in 40 minutes. How long will it take to fill the cistern if all the three are opened at the same time?",A. 19 1/7 min,B. 15 1/7 min,C. 17 1/7 min,D. 7 1/7 min,C
Find the roots of quadratic equation: 3x2– 7x – 6 = 0?,"A. -6, 3","B. 3, -2/3","C. -5, 2","D. -9, 2",B
Find the roots of quadratic equation: x2+ x – 42 = 0?,"A. -6, 7","B. -8, 7","C. 14, -3","D. -7, 6",D
Find the roots of quadratic equation: 2x2+ 5x + 2 = 0?,"A. -2, -1/2","B. 4, -1","C. 4, 1","D. -2, 5/2",A
"I. a2– 13a + 42 = 0,II. b2– 15b + 56 = 0 to solve both the equations to find the values of a and b?",A. If a > b,B. If a ≥ b,C. If a < b,D. If a ≤ b.,D
"I. a3– 988 = 343,II. b2– 72 = 49 to solve both the equations to find the values of a and b?",A. If a > b,B. If a ≥ b,C. If a < b,D. If a ≤ b,B
"I. 9a2+ 18a + 5 = 0,II. 2b2+ 13b + 20 = 0 to solve both the equations to find the values of a and b?",A. If a > b,B. If a ≥ b,C. If a < b,D. If a ≤ b,A
"I. x2+ 11x + 30 = 0,II. y2+ 15y + 56 = 0 to solve both the equations to find the values of x and y?",A. If x < y,B. If x > y,C. If x ≤ y,D. If x ≥ y,B
"I. x2+ 9x + 20 = 0,II. y2+ 5y + 6 = 0 to solve both the equations to find the values of x and y?",A. If x < y,B. If x > y,C. If x ≤ y,D. If x ≥ y,A
"I. x2+ 5x + 6 = 0,II. y2+ 9y +14 = 0 to solve both the equations to find the values of x and y?",A. If x < y,B. If x > y,C. If x ≤ y,D. If x = y or the relationship between x and y cannot be established.,D
"I. a2+ 8a + 16 = 0,II. b2– 4b + 3 = 0 to solve both the equations to find the values of a and b?",A. If a < b,B. If a ≤ b,C. If the relationship between a and b cannot be established,D. If a > b,A
"(i).  a2+ 11a + 30 = 0,(ii).  b2+ 6b + 5 = 0 to solve both the equations to find the values of a and b?",A. If a < b,B. If a ≤ b,C. If the relationship between a and b cannot be established,D. If a > b,B
"(i). a2– 9a + 20 = 0,(ii). 2b2– 5b – 12 = 0 to solve both the equations to find the values of a and b?",A. If a < b,B. If a ≤ b,C. If the relationship between a and b cannot be established,D. If a ≥ b,D
"(i). a2– 7a + 12 = 0,(ii). b2– 3b + 2 = 0 to solve both the equations to find the values of a and b?",A. if a < b,B. if a ≤ b,C. if the relationship between a and b cannot be established.,D. if a > b,D
"A man could buy a certain number of notebooks for Rs.300. If each notebook cost is Rs.5 more, he could have bought 10 notebooks less for the same amount. Find the price of each notebook?",A. 10,B. 8,C. 15,D. 7.50,A
"Find the value of a/b + b/a, if a and b are the roots of the quadratic equation x2+ 8x + 4 = 0?",A. 15,B. 14,C. 24,D. 26,B
"If a and b are the roots of the equation x2– 9x + 20 = 0, find the value of a2+ b2+ ab?",A. -21,B. 1,C. 61,D. 21,C
The sum of the square of the three consecutive even natural numbers is 1460. Find the numbers?,"A. 18, 20, 22","B. 20, 22, 24","C. 22, 24, 26","D. 24, 26, 28",B
"One root of the quadratic equation x2– 12x + a = 0, is thrice the other. Find the value of a?",A. 29,B. 27,C. 28,D. 7,B
The sum of the squares of two consecutive positive integers exceeds their product by 91. Find the integers?,"A. 9, 10","B. 10, 11","C. 11, 12","D. 12, 13",A
"If the roots of the equation 2x2– 5x + b = 0 are in the ratio of 2:3, then find the value of b?",A. 3,B. 4,C. 5,D. 6,A
The sum and the product of the roots of the quadratic equation x(power 2) + 20x + 3 = 0 are?,"A. 10, 3","B. -10, 3","C. -20, 3","D. -10, -3",C
"If the roots of a quadratic equation are 20 and -7, then find the equation?",A. x2 + 13x – 140 = 0,B. x2 – 13x + 140 = 0,C. x2 – 13x – 140 = 0,D. x2 + 13x + 140 = 0,C
The roots of the equation 3x2– 12x + 10 = 0 are?,A. rational and unequal,B. complex,C. real and equal,D. irrational and unequal,D
Find the roots of the quadratic equation: 2×2 + 3x – 9 = 0?,"A. 3, -3/2","B. 3/2, -3","C. -3/2, -3","D. 3/2, 3",B
Find the roots of the quadratic equation: x2 + 2x – 15 = 0?,"A. -5, 3","B. 3, 5","C. -3, 5","D. -3, -5",A
"An order was placed for the supply of a carper whose length and breadth were in the ratio of 3 : 2. Subsequently, the dimensions of the carpet were altered such that its length and breadth were in the ratio 7 : 3 but were was no change in its parameter. Find the ratio of the areas of the carpets in both the cases.",A. 4 : 3,B. 8 : 7,C. 4 : 1,D. 6 : 5,B
The sector of a circle has radius of 21 cm and central angle 135o. Find its perimeter?,A. 91.5 cm,B. 93.5 cm,C. 94.5 cm,D. 92.5 cm,A
"The length of a rectangle is two – fifths of the radius of a circle. The radius of the circle is equal to the side of the square, whose area is 1225 sq.units. What is the area (in sq.units) of the rectangle if the rectangle if the breadth is 10 units?",A. 140,B. 156,C. 175,D. 214,A
Find the area of a rhombus whose side is 25 cm and one of the diagonals is 30 cm?,A. 225 sq.m,B. 360 sq.m,C. 600 sq.m,D. 480 sq.m,C
The ratio of the volumes of two cubes is 729 : 1331. What is the ratio of their total surface areas?,A. 81 : 121,B. 9 : 11,C. 729 : 1331,D. 27 : 12,A
"A metallic sphere of radius 12 cm is melted and drawn into a wire, whose radius of cross section is 16 cm. What is the length of the wire?",A. 45 cm,B. 18 cm,C. 90 cm,D. None of these,D
The volumes of two cones are in the ratio 1 : 10 and the radii of the cones are in the ratio of 1 : 2. What is the length of the wire?,A. 2 : 5,B. 1 : 5,C. 3 : 5,D. 4 : 5,A
The radius of a wheel is 22.4 cm. What is the distance covered by the wheel in making 500 resolutions.,A. 252 m,B. 704 m,C. 352 m,D. 808 m,B
The dimensions of a room are 25 feet * 15 feet * 12 feet. What is the cost of white washing the four walls of the room at Rs. 5 per square feet if there is one door of dimensions 6 feet * 3 feet and three windows of dimensions 4 feet * 3 feet each?,A. Rs. 4800,B. Rs. 3600,C. Rs. 3560,D. Rs. 4530,D
A cube of side one meter length is cut into small cubes of side 10 cm each. How many such small cubes can be obtained?,A. 10,B. 100,C. 1000,D. 10000,C
"There are two circles of different radii. The area of a square is 196 sq.cm, whose side is half the radius of the larger circle. The radius of the smaller circle is three-seventh that of the larger circle. What is the circumference of the smaller circle ?",A. 12 π cm,B. 16 π cm,C. 24 π cm,D. 32 π cm,C
The parameter of a square is equal to the perimeter of a rectangle of length 16 cm and breadth 14 cm. Find the circumference of a semicircle whose diameter is equal to the side of the square. (Round off your answer to two decimal places)?,A. 23.57 cm,B. 47.14 cm,C. 84.92 cm,D. 94.94 cm,A
A 25 cm wide path is to be made around a circular garden having a diameter of 4 meters. Approximate area of the path is square meters is__________?,A. 3.34,B. 2,C. 4.5,D. 5.5,A
The circumferences of two circles are 264 meters and 352 meters. Find the difference between the areas of the larger and the smaller circles.,A. 4192 sq m,B. 4304 sq m,C. 4312 sq m,D. 4360 sq m,C
The parameter of a square is double the perimeter of a rectangle. The area of the rectangle is 480 sq cm. Find the area of the square.,A. 200 sq cm,B. 72 sq cm,C. 162 sq cm,D. Cannot be determined,D
The area of a square is 4096 sq cm. Find the ratio of the breadth and the length of a rectangle whose length is twice the side of the square and breadth is 24 cm less than the side of the square.,A. 18 : 5,B. 7 : 16,C. 5 : 14,D. None of these,D
"A wire in the form of a circle of radius 3.5 m is bent in the form of a rectangule, whose length and breadth are in the ratio of 6 : 5. What is the area of the rectangle?",A. 60 cm2,B. 30 cm2,C. 45 cm2,D. 15 cm2,B
"What will be the cost of building a fence around a square plot with area equal to 289 sq ft, if the price per foot of building the fence is Rs. 58?",A. Rs. 3944,B. Rs. 3828,C. Rs. 4176,D. None of these,D
An order was placed for the supply of a carpet whose breadth was 6 m and length was 1.44 times the breadth. What be the cost of a carpet whose length and breadth are 40% more and 25% more respectively than the first carpet. Given that the ratio of carpet is Rs. 45 per sq m?,A. Rs. 3642.40,B. Rs. 3868.80,C. Rs. 4216.20,D. Rs. 4082.40,D
"The length of a rectangular floor is more than its breadth by 200%. If Rs. 324 is required to paint the floor at the rate of Rs. 3 per sq m, then what would be the length of the floor?",A. 27 m,B. 24 m,C. 18 m,D. 21 m,C
"The length of a rectangular plot is thrice its breadth. If the area of the rectangular plot is 867 sq m, then what is the breadth of the rectangular plot?",A. 8.5 m,B. 17 m,C. 34 m,D. 51 m,B
"The area of the square formed on the diagonal of a rectangle as its side is 108 1/3 % more than the area of the rectangle. If the perimeter of the rectangle is 28 units, find the difference between the sides of the rectangle?",A. 8,B. 12,C. 6,D. 2,D
The ratio of the length and the breadth of a rectangle is 4 : 3 and the area of the rectangle is 6912 sq cm. Find the ratio of the breadth and the area of the rectangle?,A. 1 : 96,B. 1 : 48,C. 1 : 84,D. 1 : 68,A
Find the area of a parallelogram with base 24 cm and height 16 cm.,A. 262 cm2,B. 384 cm2,C. 192 cm2,D. 131 cm2,B
"Find the area of trapezium whose parallel sides are 20 cm and 18 cm long, and the distance between them is 15 cm.",A. 225 cm2,B. 275 cm2,C. 285 cm2,D. 315 cm2,C
The perimeter of a triangle is 28 cm and the inradius of the triangle is 2.5 cm. What is the area of the triangle?,A. 25 cm2,B. 42 cm2,C. 49 cm2,D. None of these,D
"If the sides of a triangle are 26 cm, 24 cm and 10 cm, what is its area?",A. 120 cm2,B. 130 cm2,C. 312 cm2,D. 315 cm2,A
What is the are of an equilateral triangle of side 16 cm?,A. 48√3 cm2,B. 128√3 cm2,C. 9.6√3 cm2,D. 64√3 cm2,D
"If the average marks of three batches of 55, 60 and 45 students respectively is 50, 55, 60, then the average marks of all the students is__________?",A. 53.33,B. 54.68,C. 55,D. None of these,B
The average weight of 16 boys in a class is 50.25 kg and that of the remaining 8 boys is 45.15 kg. Find the average weights of all the boys in the class.,A. 47.55 kg,B. 48 kg,C. 48.55 kg,D. 49.25 kg,C
"The average weight of A, B and C is 45 kg. If the average weight of A and B be 40 kg and that of B and C be 43 kg, then the weight of B is___________?",A. 17 kg,B. 20 kg,C. 26 kg,D. 31 kg,D
The average of 18 observations was calculated and it was 124. Later on it was discovered that two observations 46 and 82 were incorrect. The correct values are 64 and 28. The correct average of 18 observations is___________?,A. 123,B. 137,C. 121,D. 122,D
A person travels from x to y at a speed of 40Km/h and returns by increasing his speed 50%. What is his average speed for both the trips?,A. 36km/h,B. 45km/h,C. 48km/h,D. 50km/h,C
The mean marks of 30 students in a class is 58.5. Later on it was found that 75 was wrongly recorded as 57. Find the correct them.,A. 57.4,B. 57.5,C. 58.9,D. 59.1,D
The average of women and child workers in a factory was 15%yr. The average age of all the 16 children was 8yr and average age of women workers was 22 yrs if ten women workers were married then the number of unmarried women workers were________?,A. 16,B. 12,C. 8,D. 6,D
The average age of students of a class is 15.8 years. The average age of boys in the class is 16.4 years and that of the girls is 15.4 years. The ration of the number of boys to the number of girls in the class is___________?,A. 1:2,B. 2:3,C. 3:4,D. 3:5,B
"In an examination a pupil’s average marks were 63 per paper. If he had obtained 20 more marks for his Geography paper and 2 more marks for his History paper, his average per paper would have been 65. How many papers were there in the examination?",A. 8,B. 9,C. 10,D. 11,D
The average salary of all the workers in a workshop is Rs. 8000. The average salary of 7 technicians is Rs. 12000 and the average salary of the rest is Rs. 6000. The total number of workers in the workshop is__________________?,A. 20,B. 21,C. 22,D. 23,B
