question,A,B,C,D,correct_answer
Which collective term for the universities of Oxford and Cambridge,A. Hambridge,B. Oxbridge,C. Oxcam,D. Camford,B
Greenland is under the control of which country?,A. Germany,B. Denmark,C. France,D. None of these,B
Mount Isa is a city located in which country?,A. UK,B. Canada,C. Australia,D. France,C
Maitland city is in which country?,A. New Zealand,B. Australia,C. Fiji,D. None of these,B
The most powerful space telescope ever launched is,A. Hubble Space Telescope,B. James Webb Space Telescope,C. Kepler Space Telescope,D. Voyager 1,B
Lake Mansarovar is located in which country?,A. Pakistan,B. China,C. India,D. Afghanistan,B
Where is bridge of ” No Return” located?,A. On the border of Indo-China,B. On the border of India-Bangladesh,C. On the border of North-South Korea,D. On the border of France and Germany,C
"Geographically, Greenland is in which continent?",A. Europe,B. North America,C. South America,D. Oceania,B
Which country is known as ” land of song”?,A. Finland,B. Spain,C. Wales,D. India,C
Darwin is the sea port of which country?,A. Australia,B. Ecuador,C. China,D. Japan,A
Zaporizhzhia is the __ nuclear facility of Europe?,A. Largest,B. 2nd Biggest,C. Smallest,D. None of These,A
Which animal’s milk is black?,A. Hippopotamus,B. Black Rhinoceroces,C. Bat,D. Milk is always white in color,B
In which country Mount Judi (Cudi) also known as Mount Qardū exits?,A. Afghanistan,B. Iraq,C. Egypt,D. Turkey,D
Which one is the official language of Republic of Senegal?,A. Amharic,B. Swahili,C. French,D. English,C
Bodpola is the highest point Mountain Pass of the world which is situated in,A. Pakistan,B. Nepal,C. Tibet,D. India,C
Name the first woman speaker of US Congress,A. Nancy Palocy,B. Condaliza Rice,C. Nancy Powell,D. Hillery Clinton,A
First living creature launched in to space was a dog named:,A. Dolly,B. Laika,C. Puppy,D. Smarty,B
Which of following languages are not official languages of United Nations (UN)?,A. Urdu and Japanese,B. Chinese and Arabic,C. French and Spanish,D. None of These,A
Largest Temple of the World?,A. Angkor Wat,B. Belur Math,C. Akshardam,D. None of these,A
The NEWGRANGE monument is located in,A. Ireland,B. Netherlands,C. London,D. England,A
Interfax is the news agency of,A. London,B. Russia,C. South Africa,D. France,B
Lipulekh and Kalapani is disputed area between:,A. India-Pakistan,B. India-Nepal,C. India-China,D. India-Bangladesh,B
What is the Longest River in the World?,A. Nile,B. Amazon,C. Missi pissi,D. Yangtze,A
Which was the 50th & last State to Joined the United States of America?,A. Pennsylvania,B. Rhode Island,C. Delaware,D. Hawaii,D
Cornetto is the famous brand/company of which country,A. U.S.A,B . Italy,C. Pakistan,D. Australia,B
Walls is the famous company of Ice cream,A. PAKISTAN,B. U.S.A,C. U.K,D. None of These,C
Aryans at first settled in,A. Sindh,B. Gujrat,C. Kashmir,D. Punjab,D
The Pico Island is located in which country?,A. Switzerland,B. Portugal,C. Turkey,D. None of These,B
Croydon is an International Airport of which country?,A. USA,B. France,C. UK,D. None of These,C
When were North Yemen and South Yemen united?,A. 1986,B. 1990,C. 1994,D. 1998,B
"Kimberley, a town of South Africa is famous for",A. Diamonds,B. Goldmines,C. Poisoneous Snakes,D. Seaport,A
The world’s first printed book is,A. Diamond Sutra,B. Gutenberg Bible,C. Honchō shokkan,D. None of These,A
Which of the following is known as the “bird’s continent”?,A. South America,B. Asia,C. Australia,D. None of these,A
Which country has more pyramids than other country in the world?,A. Japan,B. Sudan,C. Egypt,D. None of These,B
Who is the founder of Wikipedia?,A. Bill gates,B. Jeff Bezos,C. Jimmy Wales,D. none of these,C
Pu’uka’oku falls is located in which of the country?,A. USA,B. France,C. Germany,D. Thailand,A
Which strait is called tear gate?,A. Kerch,B. Malacca,C. Bab el-Mandeb,D. Bosphorous,C
What was Turkey called before 1923?,A. The Ottoman Empire,B. The Turkish Empire,C. Republic of Turkey,D. None of These,A
Another name for the national flower Jasmine is,A. White Rose,B. Gardenia,C. Lily,D. Sunflower,B
The world’s only non-quadrilateral flag is,A. Iranian flag,B. Srilankan flag,C. Nepali flag,D. Indian flag,C
Which country’s astronauts set up new lab in space on 26 July 2022?,A. USA,B. China,C. Russia,D. France,B
CAREC (Central Asia Economic Cooperation) was established in year,A. 2020,B. 1990,C. 1997,D. 2022,C
When was HIV identified?,A. 1987,B. 1985,C. 1983,D. 1980,C
Kazan is a city in _______ located on the banks of Volga and Kazanka rivers?,A. Tajikistan,B. Kazakhstan,C. Russia,D. Turkmenistan,C
Rawanda joined commonwealth in,A. 2009,B. 2019,C. 2008,D. None of These,A
Istana is the official residence of which country President,A. Kuwait,B. UK,C. Yemen,D. Singapore,D
Schloss Bellevue is the official residence of,A. France president,B. Germany president,C. Turkish president,D. None of these,B
Hexagon Balard is headquarter of armed forces of which country?,A. United Kingdom,B. Germany,C. North Korea,D. France,D
The official residential palace of the President of Ukraine is,A. Ukraine Palace,B. Mariinsky Palace,C. Marina Palace,D. Mariink Palace,B
Potala Palace is in,A. Brazil,B. India,C. Uk,D. China,D
Asia Cooperation Dialogue is intergovernmental Organization formed in 2002. Its secretariat is in,A. China,B. Indonesia,C. Pakistan,D. Kuwait,D
Times square is located in,A. London,B. Moscow,C. New York,D. Karachi,C
Which of the following is not the member of Schengen Area?,A. Spain,B. France,C. United kingdom,D. Germany,C
The world’s oldest continuously operating university in English speaking world is,A. University of Salamanca,B. University of Cambridge,C. University of Oxford,D. University of Bologna,D
First Indian Civil servant in 1863 was,A. Ramesh tagore,B. Stayendarnath Tagore,C. Rabindar Nath Tagore,D. None of these,B
International human solidarity day is observed annually on,A. 20 December,B. 10 November,C. 15 October,D. None of These,A
What is the length of Hingol River?,A. 559 km,B. 560 km,C. 561 km,D. None of these,B
Lake Superior is located in,A. USA and CANADA,B. CANADA and FRANCE,C. AUSTRALIA and ENGLAND,D. None of These,A
Jahangir Khan was a famous player of,A. Cricket,B. Squash,C. Hockey,D. None of these,B
Which country has most official languages in the world?,A. Papua New Guinea,B. Zimbabwe,C. South Africa,D. Japan,B
Which of the following multinational companies is not Japanese?,A. Panasonic,B. Sony,C. Hitachi,D. LG Electronics,D
Which country has largest labour force?,A. India,B. China,C. Brazil,D. Pakistan,B
Which country has most number of universities in the world?,A. United States of America,B. China,C. India,D. Germany,C
The Parliament of Poland is,A. Knesset,B. National Assembly,C. Sejm,D. Doma,C
The Book  “Incomplete Partition” was written by,A. Zulfikar Ali Bhutto,B. Alastair Lamb,C. Qauid E Azam,D. None of these,B
"The last dynasty which ruled China, before becoming Republic of China in 1912, was",A. Xia Dynasty,B. Qin Dynasty,C. Han Dynasty,D. Qing Dynasty,D
Which country has most player in the list of cricket hall of fame?,A. Australia,B. England,C. India,D. Pakistan,B
Who is the writer of the famous Turkish drama “Dirilis Ertugrul”?,A. Mehmat Bozdag,B. Egin Altan Duzyatan,C. Burak Ozcivit,D. Aktolgali,A
What is the significant event that happened on ‘Vesak day’ according to the Buddhists,A. Lord Buddha born,B. Lord Buddha got enlightenment,C. Lord Buddha passed away,D. All of these,D
"Lhotse, the world’s 4th highest peak having height of 8,516m is in",A. Nepal,B. Pakistan,C. Himachal Pradesh,D. Tibet,A
Which is the largest port on Red Sea?,A. Jeddah,B. Alaxendria,C. Sharm-Al- Sheikh,D. Port Sudan,A
Which country has the largest reserves of Oil?,A. United States,B. China,C. Russia,D. Venezuela,D
"Caumus, which is celebrated in mid-winter is a festival of",A. Kalash,B. Chitral,C. Sindh,D. Balochistan,A
"“Uchau” is a kalash festival, celebrated in:",A. Autumn,B. Mid winter,C. Spring,D. Summer,A
In which year an earthquake hit Hunza in Northern Areas of Pakistan?,A. 1970,B. 1972,C. 1974,D. 1977,C
Which philosopher is known as “Father of Liberalism”?,A. John Locke,B. Thomos Gorden,C. Denis Diterot,D. Jean-Jacques Rousseau,A
In which year General Assembly of United Nations accepted the Universal Declaration of Human Rights?,A. 1945,B. 1946,C. 1947,D. 1948,D
Ibn Sina was born in which year?,A. 980 AD,B. 981 AD,C. 982 AD,D. 983 AD,A
Ibn Sina was Died in which year?,A. 1037 AD,B. 1038 AD,C. 1039 AD,D. 1040 AD,A
Ibn Sina was died in which country?,A. Iran,B. Iraq,C. Afghanistan,D. Palestine,A
OIC changed its name in,A. 2011,B. 2012,C. 2013,D. None of these,A
Fujiyama in Japan is a,A. River,B. Lake,C. Volcano & Mountain,D. Plain,C
"Zebra’s stripes, when they are first born are",A. Brown,B. Red,C. Green,D. Blue,A
"Rockey mountains are situated in North America, where are the Atlas mountains Situated in",A. Canada,B. Morocco,C. Russia,D. Pakistan,B
Katas Raj sites ____ temples?,A. 7,B. 6,C. 5,D. 4,A
"‘Okinawa’, a chain of islands, is part of",A. Japan,B. USA,C. UK,D. Taiwan,A
The medieval Gyanvapi mosque is in?,"A. Varansai, India","B. New Dehli, India","C. Banglore, India",D. None of these,A
"Red, Green, Blue & white Rivers are located in which Country",A. China,B. Russia,C. America,D. None of These,C
Gautama Buddha was born in,A. 623 BC,B. 723 BC,C. 823 BC,D. 923 BC,A
"The book “Zulfi, My friend is written by",A. Piloo Modi,B. Patric white,C. Albert Spear,D. None of these,A
How many Muslims received Noble Peace Prize till to 2022?,A. 5,B. 6,C. 7,D. 8,C
Construction of the Burj Khalifa began in 2004 and completed five years later in,A. 2007,B. 2008,C. 2009,D. None of these,C
Tharparkar ( Sindh) is the_______ largest desert in the world and is considered to be the only fertile desert?,A. 18th,B. 19th,C. 20th,D. None of these,A
The smallest state of USA in area is,A. Maine,B. Rhode Island,C. New Jersey,D. Hawaii,B
New England in North America is,A. Island of England,B. State of USA,C. Region comprising six states of USA,D. Province of Canada,C
The River Irrawaddy is the life blood of,A. Myanmar,B. Bangladesh,C. Thailand,D. Laos,A
The headquarter of European Central Bank is situated in,"A. Paris, France","B. Frankfurt, Germany","C. Brussels, Belgium","D. Rome, Italy",B
The euro currency came into existence on,A. 1 Jan 1999,B. 1 Jan 1996,C. 1 Jan 1995,D. 1 Jan 2002,A
Which stock exchange is known as “The Big Board”?,A. Nasdaq Stock Exchange,B. Shanghai Stock Exchange,C. London Stock Exchange,D. New York Stock Exchange,D
Arabian sea is a part of,A. South Pacific,B. Arctic ocean,C. South Atlantic ocean,D. Indian Ocean,D
What is the emblem of Mongolia?,A. Lily,B. Lion,C. Rose,D. The Soyombo,D
The book “Kitab Al Hind” is written by:,A. Al Beruni,B. Maharaja Ranjit Sangh the Sikh ruler of Punjab,C. Pandit Jawaharlal Nehru,D. Chaudary Khaliq Zaman,A
Afghanistan border with __ Countries?,A. 9,B. 6,C. 8,D. 7,B
The Muslims invaded Spain in,A. 711 A.D,B. 722 A.D,C. 706 A.D,D. 730 A.D,A
Who lead Muslim forces during the ”Crusades”?,A. Harun-Ur-Rashid,B. Walid-bin-Abdul Malik,C. Salah-ud-Din Ayubi,D. Ahmad Shah Qachar,C
Book “The Battle for Pakistan” is written by,A. Shuja Nawaz,B. Anatol Lieven,C. Hassan Abbas,D. None of these,A
Which is the Central Bank of Ukraine?,A. Bank of Ukraine,B. National Bank of Ukraine,C. People’s Bank of Ukraine,D. Federal Reserve of Ukraine,B
The slogan of the French Revolution was,"A. One nation, one leader and one flag","B. Government of the people, by the people and for the people","C. Liberty, equality and fraternity",D. None if the above,C
The British Commonwealth of nations was founded in,A. 1929,B. 1930,C. 1931,D. 1932,C
World’s Quietest Room is in the which Country?,A. The U.S.A,B. United Kingdom,C. Canada,D. Australia,A
The architect of Faisal Mosque was:,A. Kenzo Tange,B. Vedat Dalokay,C. Nasreddin Murat Khan,D. Diotisalvi,B
When Iran officially became an Islamic Republic on,"A. March 01, 1979","B. April 01, 1979","C. February 01, 1979",D. None of these,B
When did Islamic Revolution occur in Iran?,A. 1976,B. 1978,C. 1979,D. 1980,B
Treaty of Sevres was signed in,A. 1919,B. 1920,C. 1921,D. None of these,B
Which animal can create the loudest sound among any living creature?,A. Donkey,B. Monkey,C. Humpback whales,D. None of these,C
Which country lies on the western side of the Iberian Peninsula?,A. Spain,B. Portugal,C. France,D. Andorra,B
The largest source of pollution in the world is,A. Herbicides and Insecticides,B. Automobile exhausts,C. Sewage and garbage,D. Industrial effluents,C
What is the name of Russian Space Agency?,A. Gazprom,B. Roscomos,C. ISS,D. None of these,B
“Big Bash League” is related to which sports?,A. Football,B. Baseball,C. Hockey,D. Cricket,D
Line of Actual Control is between which countries?,A. China & India,B. Pakistan & China,C. China &  Kazakhstan,D. Afghanistan & China,A
Where is Makran medical college located?,A. Faisalabad,B. Quetta,C. Ziarat,D. Turbat,D
Which one of the following is the world’s loftiest peak?,A. Mount Everest,B. Mount Kilimanjaro,C. Mount Elbrus,D. All of above,A
Treaty of Vienna was signed in which year?,A. 1809,B. 1812,C. 1815,D.1818,C
Arak Nuclear power plant is located in which country?,A. China,B. Iraq,C. Iran,D. None of these,C
KOTO Hydropower Project Timergara Dir of KPK Province generation capacity is Megawatts?,A. 25 MW,B. 35 MW,C. 40.08 MW,D. None of these,C
The official residence of president of South Korea is:,A. Blue House,B. White House,C. Chitralada Palace,D. Temple Trees,A
Who said “Democracy is government of the people by the people for the people”?,A. Abraham Lincoln,B. Walter Stone,C. George Washington,D. Jean Austin,A
Which of the following Olympic games are known as “Bloody Olympic games” in the history of games?,A. 1960,B. 1968,C. 1972,D. 1984,C
When did the first time did US grant right to vote to the women?,A. 1918,B. 1919,C. 1920,D. 1924,C
Petermann glacier is situated in,A. Greenland,B. Norway,C. Australia,D. None of these,A
Which century is known as “The age of reason”?,A. 12th century,B. 16th century,C. 18th century,D. None of these,C
International Day against Women violence is celebrated each year on,A. 25 November,B. 25 October,C. 25 September,D. 25 December,A
Who was the first man to set foot on all five continents?,A. Captain Cook,B. Johnson,C. Columbus,D. None of these,A
Which country was the first to introduce old age pensions?,A. Germany,B. France,C. Italy,D. Austria,A
The autobiography titled “Resolved: Uniting Nations in a Divided World” has been written by which diplomat?,A. Antonio Guterres,B. Nadia Omair,C. Tedros Adhanom,D. Ban Ki-moon,D
Berlin was bombed by American forces for the first time in,A. 1985,B. 1943,C. 1965,D. None of these,B
In which city was the first public opera house was opened?,A. Tokyo,B. Venice,C. Arizona,D. None of these,B
Which Sikh Guru invented ‘Gurumukhi Script?,A. Guru Nanak,B. Guru Angad,C. Guru Arjun Dev,D. Guru Gobind Singh,B
Which is the correct reason for the outbreak for the situation of cold war?,A. Defeat of axis force in the II World War,B. Bombing on Hiroshima and Nagasaki by USA,C. Emergence of USA and USSR as rival powers,D. Invasion on Pearl Harbour by Japan,C
NAMA is a space agency of which country?,A. Netherlands,B. Nigeria,C. France,D. Italy,B
What does SWIFT stand for financial?,A. Security for Worldwide International Financial Telecommunication,B. Society for Worldwide Interbank Financial Telecommunication,C. Service the Worldwide Interbank Financial Telecommunication,D. None of these,B
Where is the headquarter of International Atomic Energy Agency (IAEA) located?,A. New York,B. Geneva,C. Vienna,D. Berlin,C
The Barents Sea is located along the coasts of which two countries?,A. Russia-Ukraine,B. Russia-Norway,C. Russia-Belarus,D. None of these,B
Ukraine shares border with how many European Union Member states?,A. Two,B. Three,C. Four,D. None of these,C
Shanghai Communique was signed in 1972 between,A. China and United States,B. US and Russia,C. China and Russia,D. India and China,A
The Upper House of Malaysia is called,A. Dewan Khaas,B. Dewan Negara,C. Dewan Rakyat,D. None of the above,B
The Lower House of Malaysia is called,A. Dewan Negara,B. Dewan Khaas,C. Dewan Rakyat,D. None of the above,C
Dove lake is located in which country?,A. India,B. Argentina,C. Australia,D. Brazil,C
Trafalgar Square is in,A. Italy,B. Ukraine,C. London,D. New York,C
Who is known as Aflatoon,A. Socrates,B. Aristotle,C. Plato,D. None of the Above,C
The State of the World’s Forests report is published by,A. United Nations Environment Programme,B. World Forest Organization,C. United Nations Framework Convention on Climate Change,D. Food and Agriculture Organization of the United Nations,D
Quad countries held first naval exercise in which year?,A. 2010,B. 2016,C. 2018,D. 2020,D
"Quad, an alliance of four countries US, Australia, Japan and India to contain China, formed in which year",A. 2012,B. 2007,C. 2020,D. 2018,B
The great lakes are group of __________ lakes?,A. 3 lakes,B. 5 lakes,C. 4 lakes,D. 6 lakes,B
Which of the following is not  the part of Pacific Pumas?,A. peru,B. Mexico,C. Chile,D. Brazil,D
"Mount Kilimanjaro is the highest place in African continent, while the lowest point on the continent is?",A. Lake Assal,B. Lake Victoria,C. Red sea,D. None of these,A
University of Heidelberg is the oldest university of,A. Germany,B. France,C. Italy,D. None of these,A
Bu-Ali Sina University is located in,A. Iran,B. Iraq,C. Kazakhstan,D. None of these,A
The University of Leiden is the oldest university of,A. The Netherlands,B. Germany,C. Scotland,D. France,A
Surendra Kumar Sinha was the first Hindu chief justice of which country?,A. Bangladesh,B. Srilanka,C. Canda,D. None of these,A
Algar waterfalls is present in which country?,A. Argentina,B. Spain,C. Italy,D. Norway,B
Cook strait is under the jurisdiction of,A. New Zealand,B. Australia,C. Papua new guinea,D. Marshal islands,A
"International Olive Oil council (IOC) was set up in 1959, in",A. Madrid,B. Doha,C. Istanbul,D. Algeria,A
CPEC connect the deep-sea Pakistani ports of Gwadar and Karachi to which province of China?,A. Sichuan Province,B. Xinjiang province,C. Henan Province,D. Guangdong Province,B
Which is the part of Asian Tigers?,A. South Korea,B. Japan,C. China,D. Pakistan,A
Paper was invented by:,A. Cai Lun,B. Alexander Flemming,C. Loius Pasture,D. Non of these,A
Russia supply natural gas to the European countries which transit through state of :,A. Turkey,B. Esotonia,C. Ukraine,D. Latvia,C
Balfour Declaration is related to the,A. Establishing of a national home for Jewish People,B. Surrender of the Ottoman Empire,C. Assurance for the creation of Kurdistan,D. Defeat of Germans in World War I,A
Which of the following sea lie between Russia and Ukraine?,A. Sea of Marmara,B. Barents Sea,C. Sea of Azov,D. White Sea,C
"The Aljaferia Palace, a fortified palace, is located in",A. Algeria,B. Italy,C. India,D. Spain,D
The Cocora valley is the principal location of Quindio Wax Palm. Where it is located,A. Argentina,B. Brazil,C. Colombia,D. Portugal,C
"The Mont Saint-Michel, a UNESCO World Heritage Site, is located in",A. United States,B. France,C. Germany,D. Russia,B
How many ODI matches Prime Minister Imran Khan has captained for Pakistan?,A. 135,B. 137,C. 139,D. None of these,C
When did Christopher Columbus discovered West Indies,A. 1455 AD,B. 1492 AD,C. 1139 AD,D. 1556 AD,B
The Global Risk Report is published by which of the following?,A. Financial Action Task Force,B. United Nations Security Council,C. International Criminal Police Organization,D. World Economic Forum,D
Formosa Strait separates:,A. Spain from Morocco,B. Australia from New Zealand,C. China from Taiwan,D. Indonesia from Singapore,C
“Roland Garros” is the other name of,A. French open,B. Australian open,C. US open,D. Wimbledon,A
Which country was previously known as the ‘Malagasy Republic’ ?,A. Malawi,B. Maldevis,C. Madagascar,D. Malaysia,C
The ‘Tartar’ tribe inhabitates in which part of the world?,A. Siberia,B. Kenya,C. Indonesia,D. Malyasia,A
Who discovered “The Cape of Good Hope”?,A. Vasco Da Gama,B. Marco Polo,C. Robert Cook,D. Bartolomeu Dias,D
Furakha Dam on river Ganga is disputed between?,A. India and China,B. India and Pakistan,C. India and Nepal,D. India and Bangladesh,D
Dong is the currency of,A. Malaysia,B. Myanmar,C. Philippine,D. Vietnam,D
“Ambassador bridge” links which two countries?,A. Canada and USA,B. Germany and Poland,C. Belarus and Russia,D. None of these,A
What is the profession of current Chancellor of Germany Olaf Scholz?,A. Physicist,B. Builder,C. Business man,D. Lawyer,D
Sutherland Waterfall is located in which country,A. England,B. New Zealand,C. Canada,D. Malaysia,B
Hibernia was the Roman name for which country,A. Ireland,B. Armenia,C. Ethiopia,D. Argentina,A
Iguazu waterfall is located between which two countries?,A. Brazil and Bolivia,B. Brazil and Argentina,C. Brazil and Chile,D. Bolivia and Colombia,B
Famous painting “The Scream” painted by,A. Johannes Vermeer,B. Rene Magritte,C. Vincent Van Gogh,D. Edvard Munch,D
Trans Siberian Railway is a railway network of which country?,A. Serbia,B. Somalia,C. Syria,D. Russia,D
The Second Operation in Swat against Taliban in 2009 was called?,A. Operation RAH E HAQ,B. Operation RAHE RASAT,C. Operation ZARBE AZAB,D. None of these,B
The First Operation in Swat against Taliban in 2007 was called?,A. Operation RAH E HAQ,B. Operation RAHE RASAT,C. Operation ZARBE AZAB,D. None of these,A
